patch_id,row,col,x_min,y_min,x_max,y_max,overlap_count,total_images_processed,total_regions
12,2,2,0.4,0.4,0.6,0.6,1252.0,1300,1300
17,3,2,0.4,0.6,0.6,0.8,1240.0,1300,1300
11,2,1,0.2,0.4,0.4,0.6,1225.0,1300,1300
16,3,1,0.2,0.6,0.4,0.8,1212.0,1300,1300
7,1,2,0.4,0.2,0.6,0.4,1212.0,1300,1300
13,2,3,0.6,0.4,0.8,0.6,1211.0,1300,1300
18,3,3,0.6,0.6,0.8,0.8,1198.0,1300,1300
6,1,1,0.2,0.2,0.4,0.4,1192.0,1300,1300
8,1,3,0.6,0.2,0.8,0.4,1176.0,1300,1300
22,4,2,0.4,0.8,0.6,1.0,1098.0,1300,1300
21,4,1,0.2,0.8,0.4,1.0,1085.0,1300,1300
23,4,3,0.6,0.8,0.8,1.0,1070.0,1300,1300
2,0,2,0.4,0.0,0.6,0.2,983.0,1300,1300
1,0,1,0.2,0.0,0.4,0.2,970.0,1300,1300
3,0,3,0.6,0.0,0.8,0.2,965.0,1300,1300
14,2,4,0.8,0.4,1.0,0.6,963.0,1300,1300
10,2,0,0.0,0.4,0.2,0.6,953.0,1300,1300
19,3,4,0.8,0.6,1.0,0.8,950.0,1300,1300
15,3,0,0.0,0.6,0.2,0.8,948.0,1300,1300
9,1,4,0.8,0.2,1.0,0.4,944.0,1300,1300
5,1,0,0.0,0.2,0.2,0.4,935.0,1300,1300
20,4,0,0.0,0.8,0.2,1.0,870.0,1300,1300
24,4,4,0.8,0.8,1.0,1.0,864.0,1300,1300
4,0,4,0.8,0.0,1.0,0.2,824.0,1300,1300
0,0,0,0.0,0.0,0.2,0.2,811.0,1300,1300
